VM Name,Backup Status
MTP-CLONE,Success
Autoline-PMI,Success
SDAPPRODWEB,Success
SDAP WEB,Success
VMWare SRM 9.0.2,Success
SMART SQL SSIS,Success
MYMTWMS0001,Success
Mazda_Fileserver,Success
INO_PORSCHE_CLECO,Success
PMS_2,Success
IPM Malaysia PreInstall,Success
Autoline-PMI,Success
VOPSINOKOM,Success
