Summary - Backup Success Rate,,,,,,,,,,,,,,,,,
Motor City/Inokom : ,,100.00%,,,,,,,,,,,,,,,
Azure : ,,100.00%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Average Success Backup Rate : ,,100.00%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
No,IP Address,Environment,Application,VM Name,BIA,Dedicated/Sharing,Date of Failed Backup,Technical Reason,No of Failed Backup,,,,,,,,
41,172.17.3.66,Motor City,Enterprise Portal - APP,Portal SSCEPAPP,Mission Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
42,172.17.3.67,Motor City,Enterprise Portal - DB,Portal SSCEPDB,Mission Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
43,172.17.3.69,Motor City,Enterprise Portal - QAS,PorEPQASNw,Non-Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
44,172.17.3.70,Motor City,Enterprise Portal - DEV,PorSSCEPPDV,Non-Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
45,172.17.82.100,Motor City,UBNT,UBNT GHO,Functional Important,GHO,NA,All backups were successful for reporting month,,,,,,,,,
46,172.17.82.110,Motor City,Opentext Document Archive,OpentextDoc PRD,Mission Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
47,172.17.82.111,Motor City,Opentext Document Archive DB (DB1),OpentextDoc DB PRD,Mission Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
48,172.17.82.112,Motor City,Opentext Data Archive,OpentextData PRD,Business Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
49,172.17.82.113,Motor City,Custom Solution DMS Server,GHO DMS PRD,Business Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
50,172.17.82.114,Motor City,Opentext Document Archive,OpentextDoc QAS,Non-Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
51,172.17.82.115,Motor City,Opentext Document Archive DB,OpentextDoc DB QAS,Non-Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
52,172.17.82.116,Motor City,Opentext Data Archive,OpentextData QAS,Non-Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
53,172.17.82.117,Motor City,Custom Solution DMS Server,GHO DMS QAS,Non-Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
54,172.17.82.125,Motor City,Intune collector,GHO Intune,Business Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
55,172.17.82.16,Motor City,WEB HOSTING SERVER DB,WEB HOSTING SERVER DB,Business Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
56,172.17.82.17,Motor City,ODASERVER,ODASERVER,Functional Important,GHO,NA,All backups were successful for reporting month,,,,,,,,,
57,172.17.82.23,Motor City,AD_NPS Service,AD_NPS Service,Mission Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
58,172.17.82.36,Motor City,GHOFA-FileServer,GHOFA-FileServer,Functional Important,GHO,NA,All backups were successful for reporting month,,,,,,,,,
59,172.17.82.52,Motor City,Q-Radar Group Risk Database,MYHQKUL990039S-ERMDB,Business Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
60,172.17.82.54,Motor City,AD Certification Server,GHOCertServer,Business Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
61,172.17.82.57,Motor City,Root Certification Server,GHORootCA,Mission Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
62,172.19.22.11,"Inokom, Kulim",Delinea (Thycotic) PAM Solution DR,Delinea (Thycotic) PAM Solution DR,Business Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
63,172.19.22.12,"Inokom, Kulim",Delinea PAM DR,MYHQKUL990037S,Business Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
64,172.17.152.48,Motor City,MANAGE ENGINE,MYHQKUL990041S MANAGE ENGINE,Business Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
65,172.17.3.234,Motor City,Active Directory,AD_MYHQKUL990045S,0.00,GHO,NA,All backups were successful for reporting month,,,,,,,,,
66,172.17.152.49,Motor City,ManageEngine ServiceDesk Plus (Development),ManageEngineSD-Plus,Business Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
67,172.17.82.104,Motor City,File Server,GHOFileserver,Business Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
68,172.17.82.145,Motor City,SDRAC DB UAT,SDRAC-DB-UAT,Functional Important,GHO,NA,All backups were successful for reporting month,,,,,,,,,
69, 172.17.82.65 ,Motor City,SAP Jump server,SAPJumpServer (POC),Non-Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
70,172.17.82.68,Motor City,Qualitas Portal ,Qualitas Portal,Business Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
71,172.17.82.136,Motor City,ADFS,AD_MYHQKUL991190S,Mission Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
72,172.17.82.137,Motor City,ADFS,AD_MYHQKUL991191S,Mission Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
73,172.17.152.58,Motor City,WAP,AD_MYHQKUL991192S,Mission Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
74,172.17.152.59,Motor City,WAP,AD_MYHQKUL991193S,Mission Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
76,172.17.82.160 ,Motor City,Automation,MYHQKUL991177S,Non-Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
,,,,,,,,Total Failed Backup,0,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Motor City/Inokom,,,,,,,,,,,,,,,,
,Total servers with backup,68,,,,,,,,,,,,,,,
,Total backup counts for June of all servers,2040,Count failed June,0,,,,,,,,,,,,,
,Total successful backup counts for June of all servers,2040,,,,,,,,,,,,,,,
,Success Backup Rate,100.00%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Azure,,,,,,,,,,,,,,,,
,Total servers with backup,7,,,,,,,,,,,,,,,
,Total backup counts for June of all servers,210,Count failed June,0,,,,,,,,,,,,,
,Total successful backup counts for June of all servers,210,,,,,,,,,,,,,,,
,Success Backup Rate,100.00%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Overall,,,,,,,,,,,,,,,,
,Total servers with backup,75,,,,,,,,,,,,,,,
,Total backup counts for June of all servers,2250, Grand Total Count failed June,0,,,,,,,,,,,,,
,Total successful backup counts for June of all servers,2250,,,,,,,,,,,,,,,
,Success Backup Rate,100.00%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
